nomPlante,zoneAgricole,dureeCycle,periodeSemis,periodeRecolte,conditions,risquesClimatiques,mesuresAdaptation,statut
Mil,Bassin arachidier,90-120 jours,Juin-Juillet,Septembre-Novembre,Culture pluviale; sols légers à moyens bien drainés.,Démarrage tardif de l’hivernage; poches de sécheresse; pluies irrégulières; fortes chaleurs.,Variétés à cycle adapté; semis après pluie utile; conservation de l’humidité; ressemis si nécessaire.,PROVISOIRE - à valider avec ISRA/ANACIM/structures techniques
Mil,Sénégal oriental,90-120 jours,Juin-Juillet,Septembre-Novembre,Culture principalement pluviale; bonne disponibilité de pluie pendant le cycle.,Poches de sécheresse; pluies intenses; décalage du début ou de la fin de l’hivernage.,Variétés adaptées; ajustement de la date de semis; conservation de l’eau du sol.,PROVISOIRE - à valider avec ISRA/ANACIM/structures techniques
Arachide,Bassin arachidier,90-120 jours,Juin-Juillet,Octobre-Novembre,Culture pluviale; sol léger et bien drainé; installation après les premières pluies utiles.,Faux départ des pluies; sécheresse intra-saisonnière; pluies tardives; excès d’eau ponctuel.,Variété à cycle adapté; éviter les semis après pluie isolée; drainage et conservation de l’humidité.,PROVISOIRE - à valider avec ISRA/ANACIM/structures techniques
Arachide,Sénégal oriental,90-120 jours,Juin-Juillet,Octobre-Novembre,Culture pluviale; sols suffisamment drainants.,Sécheresse; pluies irrégulières; vents et pluies fortes en fin de cycle.,Variétés adaptées; semis cohérent avec les pluies utiles; couverture du sol.,PROVISOIRE - à valider avec ISRA/ANACIM/structures techniques
Maïs,Bassin arachidier,90-120 jours,Juin-Juillet,Septembre-Novembre,Culture pluviale; besoins en eau importants; sols fertiles et bien drainés.,Sécheresse intra-saisonnière; pluies irrégulières; excès d’eau; fortes chaleurs.,Variétés précoces adaptées; semis avec les pluies utiles; amélioration de la fertilité et du drainage.,PROVISOIRE - à valider avec ISRA/ANACIM/structures techniques
Sorgho,Bassin arachidier,100-130 jours,Juin-Juillet,Octobre-Novembre,Culture pluviale adaptée aux zones à pluviométrie variable.,Poches de sécheresse; pluies irrégulières; fortes chaleurs; pluies intenses.,Variétés à cycle adapté; ajustement du semis; conservation de l’eau et du sol.,PROVISOIRE - à valider avec ISRA/ANACIM/structures techniques
Niébé,Centre-Nord,60-90 jours,Juin-Août,Septembre-Octobre,Culture pluviale à cycle court.,Poches de sécheresse; pluies tardives; chaleur excessive; pluies fortes pendant la maturation.,Variétés précoces; ajustement de la date de semis; éviter les parcelles mal drainées.,PROVISOIRE - à valider avec ISRA/ANACIM/structures techniques
Riz,Vallée du fleuve Sénégal,110-150 jours,Juin-Août; Février-Mars en contre-saison,Octobre-Décembre; Juin-Juillet en contre-saison,Culture principalement irriguée; maîtrise de l’eau et préparation correcte des parcelles.,Températures élevées; vents secs; déficit ou excès d’eau; salinité localisée.,Planification de l’irrigation; drainage; variétés adaptées à la saison; surveillance de la salinité.,PROVISOIRE - à valider avec ISRA/ANACIM/structures techniques
Riz,Casamance,100-150 jours,Juin-Juillet,Octobre-Décembre,Riz pluvial possible dans les vallées et bas-fonds.,Démarrage tardif des pluies; sécheresse intra-saisonnière; pluies excessives et inondations locales.,Adapter le semis aux pluies; variétés adaptées; amélioration de la gestion de l’eau.,PROVISOIRE - à valider avec ISRA/ANACIM/structures techniques
Oignon,Niayes,120-180 jours,Octobre-Novembre pour la pépinière,Avril-Mai,Culture maraîchère principalement irriguée; saison fraîche favorable au bulbe.,Chaleur excessive; déficit hydrique; vents secs; humidité favorisant certaines maladies.,Maîtrise de l’irrigation; drainage; période adaptée; surveillance phytosanitaire.,PROVISOIRE - à valider avec ISRA/ANACIM/structures techniques
Oignon,Vallée du fleuve Sénégal,120-180 jours,Octobre-Novembre pour la pépinière,Avril-Mai,Culture irriguée; températures relativement fraîches favorables à la bulbaison.,Chaleur élevée; salinité; déficit ou excès d’irrigation; maladies liées à l’humidité.,Gestion précise de l’irrigation et du drainage; surveillance de la salinité; matériel végétal adapté.,PROVISOIRE - à valider avec ISRA/ANACIM/structures techniques
Tomate,Niayes,90-120 jours,Octobre-Février selon le système,Selon la date de plantation,Culture maraîchère irriguée; températures modérées et sol bien drainé.,Fortes chaleurs; stress hydrique; humidité excessive; vents secs.,Période favorable; irrigation régulière; drainage; paillage; surveillance phytosanitaire.,PROVISOIRE - à valider avec ISRA/ANACIM/structures techniques
Maïs,Vallée du fleuve Sénégal,90-120 jours,Février en contre-saison; Juin-Juillet en hivernage,Environ 3-4 mois après semis,Culture possible en système irrigué; besoins en eau importants et sol fertile.,Forte chaleur; vent sec; déficit d’irrigation; excès d’eau localisé.,Irrigation planifiée; variété adaptée à la campagne; drainage et fertilisation raisonnée.,PROVISOIRE - à valider avec ISRA/ANACIM/structures techniques
Sésame,Centre et Sud-Est,90-120 jours,Juin-Juillet,Septembre-Octobre,Culture pluviale à cycle relativement court; sol bien drainé.,Démarrage tardif des pluies; sécheresse intra-saisonnière; pluies fortes à maturité.,Variétés adaptées; semis après pluie utile; éviter les sols hydromorphes; récolte au bon stade.,PROVISOIRE - à valider avec ISRA/ANACIM/structures techniques
